66,-37.81966892,144.9417578,Stainless Steel Drinking Fountain,Old Docklands Type,7
67,-37.79166435,144.9517569,Treated Timber Drinking Fountain,Royal Park,102
68,-37.78615201,144.9534929,Treated Timber Drinking Fountain,Royal Park,102
69,-37.82514309,144.978301,Treated Timber Drinking Fountain,Alexandra Park,4
70,-37.8072604,144.9578811,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
71,-37.80931636,144.9545334,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,3
72,-37.82976204,144.9650239,Treated Timber Drinking Fountain,Sturt Street Reserve,6
73,-37.81515985,144.9371255,Stainless Steel Drinking Fountain,Leaf Type,7
74,-37.82249308,144.971144,Treated Timber Drinking Fountain,Queen Victoria Gardens,6
75,-37.8211451,144.9429837,Stainless Steel Drinking Fountain,Old Docklands Type,7
76,-37.81752394,144.9601304,Stainless Steel Drinking Fountain,Leaf Type,1
77,-37.80282308,144.9663007,Drinking Fountain,Monument Style Type 2_Argyle Square,103
78,-37.80225791,144.9661363,Stainless Steel Drinking Fountain,Leaf Type_Argyle Square,103
79,-37.81319699,144.9737447,Stainless Steel Drinking Fountain,Leaf Type,1
80,-37.82051807,144.9731853,Treated Timber Drinking Fountain,Alexandra Gardens,4
81,-37.80663191,144.9599133,Duke & Duchess of York Memorial Drinking Fountain,NA,1
82,-37.81600551,144.9651331,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
83,-37.79638204,144.9464447,Drinking Fountain,Type 1,101
84,-37.81992694,144.9431459,Stainless Steel Drinking Fountain,Leaf Type,7
85,-37.81890779,144.9730194,Historic or Heritage Drinking Fountains,Birrarung Marr,4
86,-37.81331469,144.9666513,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
87,-37.81144127,144.9551163,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,3
88,-37.82016422,144.9419807,Stainless Steel Drinking Fountain,Old Docklands Type,7
89,-37.82792493,144.983545,Alexandra Park,NA,234
90,-37.8199983,144.9597974,Drinking Fountain,Type 2_Enterprize Park,1
91,-37.82123671,144.9707706,Historic or Heritage Drinking Fountains,Queen Victoria Gardens,4
92,-37.78784948,144.9245623,Dog Bowl _Newmarket Reserve,NA,59
93,-37.80056485,144.9668454,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,103
94,-37.77990317,144.9610389,Historic or Heritage Drinking Fountains,Princes Park,104
95,-37.82182652,144.957324,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
96,-37.84249232,144.9843962,Treated Timber Drinking Fountain,Fawkner Park,234
97,-37.81033906,144.972424,Stainless Steel Drinking Fountain,Leaf Type,1
98,-37.78858144,144.9262315,Drinking Fountain,Type 1,59
99,-37.80831892,144.9744525,Old Style Steel Drinking Fountain,NA,2
100,-37.83210002,144.9755443,Treated Timber Drinking Fountain,Shrine Gardens,4
101,-37.81146826,144.9617507,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
102,-37.82340947,144.9406532,Stainless Steel Drinking Fountain,Northbank Type,7
103,-37.79735924,144.9739863,Stainless Steel Drinking Fountain,Leaf Type_Station Street Park,103
104,-37.81839331,144.944678,Stainless Steel Drinking Fountain,Leaf Type,7
105,-37.80501832,144.9491104,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,101
106,-37.78714504,144.9594465,Stainless Steel Drinking Fountain,Leaf Type_Princes Park,102
107,-37.79009686,144.925756,Historic or Heritage Drinking Fountains,Liddy Street Reserve (KENSINGTON),59
108,-37.79813009,144.9217176,Treated Timber Drinking Fountain,JJ Holland Park,59
109,-37.80241729,144.9720229,Treated Timber Drinking Fountain,Carlton Gardens North,103
110,-37.84105383,144.9847416,Fawkner Park,NA,234
111,-37.80899369,144.9728687,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,2
112,-37.81261777,144.9683506,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
