1,10311,-37.86229674,145.0281944,45-Glenferrie Rd/Wattletree Rd ,238
2,10371,-37.86189324,145.0250907,44-Duncraig Ave/Wattletree Rd ,236
3,1083,-37.76969864,144.8988413,42-Clyde St/Raleigh Rd ,61
4,11285,-37.86159177,145.0227003,43-Egerton Rd/Wattletree Rd ,236
5,1185,-37.86438507,145.043712,50-Vincent St/Wattletree Rd ,240
6,12599,-37.86118851,145.0196193,42-Kooyong Rd/Wattletree Rd ,236
7,1291,-37.86478209,145.046998,51-Erica Ave/Wattletree Rd ,240
8,1292,-37.73161894,144.9642657,38-Renown St/Sydney Rd ,109
9,13401,-37.85056356,144.9840467,28-Punt Rd/High St ,298
10,13995,-37.76889124,144.8919846,44-Barb St/Raleigh Rd ,61
11,14033,-37.85105009,144.9877271,29-Perth St/High St ,298
12,14614,-37.85131864,144.9897315,30-Prahran Station/High St ,298
13,14728,-37.85175647,144.9932087,31-Chapel St/High St ,298
14,15559,-37.76862941,144.8889382,45-Randall St/Raleigh Rd ,61
15,15699,-37.85219895,144.9964359,32-Hornby St/High St ,298
16,1575,-37.86507635,145.0500708,52-Burke Rd/Wattletree Rd ,240
17,16610,-37.85243434,144.9980888,33-The Avenue/High St ,298
18,16713,-37.74147092,144.9664697,34-Bell St/Sydney Rd ,109
19,16714,-37.74325874,144.9661484,33-Coburg Market/Sydney Rd ,109
20,16715,-37.74506476,144.965838,32-Munro St/Sydney Rd ,109
21,16716,-37.74873966,144.9652039,31-Reynard St/Sydney Rd ,109
22,16717,-37.75207324,144.9646359,30-The Avenue/Sydney Rd ,109
23,16718,-37.85265073,144.9996855,34-Lewisham Rd/High St ,298
24,16719,-37.75564023,144.964016,28-Moreland Rd/Sydney Rd ,107
25,16720,-37.75781457,144.9636386,27-Brunswick Tram Depot/Sydney Rd ,107
26,16721,-37.76095918,144.9630869,26-Albion St/Sydney Rd ,107
27,16722,-37.7632324,144.9626954,25-Stewart St/Sydney Rd ,107
28,16723,-37.76557768,144.9623018,24-Brunswick Baptist Church/Sydney Rd ,107
29,16724,-37.76714106,144.9620318,23-Victoria St/Sydney Rd ,107
30,16725,-37.76894706,144.9617212,22-Albert St/Sydney Rd ,107
31,16726,-37.77164265,144.9612611,21-Brunswick Town Hall/Sydney Rd ,107
32,16727,-37.77484186,144.9607418,20-Barkly Square/115 Sydney Rd ,107
33,16728,-37.77729502,144.9603338,19-Brunswick Rd/Sydney Rd ,107
34,16729,-37.77937887,144.9599359,18-Princes Park/Royal Pde ,102
35,16730,-37.78188803,144.9596398,17-Ievers St/Royal Pde ,102
36,16731,-37.78485559,144.9592743,16-Visy Park/Royal Pde ,102
37,16732,-37.78793104,144.9588945,15-Leonard St/Royal Pde ,102
38,16733,-37.79001684,144.9586099,14-Macarthur Rd/Royal Pde ,102
39,16734,-37.79267912,144.9583095,13-Gatehouse St/Royal Pde ,102
40,16735,-37.79565568,144.9579437,12-Morrah St/Royal Pde ,102
41,16736,-37.79827311,144.9576558,11-University of Melbourne/Royal Pde ,102
42,16738,-37.85301095,145.0023239,35-Williams Rd/High St ,298
43,16739,-37.85355558,145.0062758,36-Chatsworth Rd/High St ,298
44,16740,-37.85386619,145.0086542,37-Airlie Ave/High St ,298
45,16741,-37.85421989,145.011452,38-Orrong Rd/High St ,298
46,16742,-37.85468487,145.0149743,39-Auburn Gr/High St ,236
47,16743,-37.85511852,145.0182474,40-Armadale Station/High St ,236
48,16744,-37.85541912,145.0205807,41-Kooyong Rd/High St ,236
49,16745,-37.85583154,145.0236726,42-Huntingtower Rd/High St ,236
50,16746,-37.85612189,145.025938,43-Mercer Rd/High St ,236
51,16747,-37.85653646,145.0291663,44-Glenferrie Rd/High St ,238
52,16748,-37.85694174,145.0323835,45-De La Salle College/High St ,238
53,16749,-37.85738316,145.0356111,46-Fraser St/High St ,238
54,16750,-37.85769356,145.0380125,47-Dixon St/High St ,238
55,16751,-37.85807757,145.0410485,48-Tooronga Rd/High St ,238
56,16752,-37.85845437,145.0441984,49-Harold Holt Swim Centre/High St ,241
57,16753,-37.85894526,145.0482546,50-Belmont Ave/High St ,241
58,16754,-37.85930967,145.0512117,51-Burke Rd/High St ,241
59,16755,-37.85961375,145.0537953,52-Boyanda Rd/High St ,241
60,16757,-37.86003827,145.0565803,53-Malvern Rd/High St ,241
61,16758,-37.85978247,145.0541887,52-Boyanda Rd/High St ,241
62,16759,-37.85948571,145.0515026,51-Burke Rd/High St ,241
63,16760,-37.85911004,145.0484094,50-Belmont Ave/High St ,241
64,16761,-37.85867005,145.0447042,49-Harold Holt Swim Centre/High St ,241
65,16762,-37.85827203,145.0413616,48-Tooronga Rd/High St ,241
66,16764,-37.85781967,145.0380092,47-Dixon St/High St ,238
67,16765,-37.85755753,145.0357997,46-Fraser St/High St ,238
68,16766,-37.85715747,145.0328892,45-De La Salle College/High St ,238
69,16767,-37.8567043,145.0295028,44-Glenferrie Rd/High St ,238
70,16768,-37.85628898,145.0262291,43-Mercer Rd/High St ,236
71,16769,-37.85599635,145.0238273,42-Huntingtower Rd/High St ,236
72,16770,-37.85558508,145.0208036,41-Kooyong Rd/High St ,236
73,16771,-37.85527432,145.0184023,40-Armadale Station/High St ,236
74,16772,-37.85487154,145.0153557,39-Auburn Gr/High St ,236
75,16773,-37.85438644,145.011709,38-Orrong Rd/High St ,236
76,16774,-37.85399287,145.0086849,37-Airlie Ave/High St ,298
77,16775,-37.85376394,145.0068726,36-Chatsworth Rd/High St ,298
78,16776,-37.85316909,145.0026152,35-Williams Rd/High St ,298
