rs_id	rs_stopid	rs_lat	rs_long	rs_desc	sub_id
102	44953	-37.05090849	143.7424023	Maryborough Railway Station 	1323
103	45918	-37.05924027	142.7735382	Stawell Railway Station 	1037
104	47482	-37.17289923	143.7056403	Talbot Railway Station 	989
105	47641	-38.21581447	144.3068194	Waurn Ponds Railway Station 	370
106	47642	-36.70634158	144.3210395	Epsom Railway Station 	1621
107	47647	-37.87178183	144.6084721	Wyndham Vale Railway Station 	41
108	47648	-37.83216813	144.6947144	Tarneit Railway Station 	52
109	52011	-37.76715264	144.7380216	Caroline Springs Railway Station 	38
110	15351	-37.57909097	144.7273188	Diggers Rest Railway Station 	1177
111	15353	-37.62701651	144.7199224	Stony Point Railway Station 	1175
112	19827	-38.37423454	145.2218375	Crib Point Railway Station 	2687
113	19828	-38.36612338	145.2040433	Morradoo Railway Station 	2687
114	19829	-38.35403334	145.1896025	Bittern Railway Station 	2687
115	19830	-38.33739032	145.1780265	Hastings Railway Station 	2686
116	19831	-38.30565853	145.1859799	Tyabb Railway Station 	2681
117	19832	-38.259815	145.1864007	Somerville Railway Station 	2680
118	19833	-38.22534196	145.1762449	Baxter Railway Station 	2679
119	19834	-38.19404306	145.1605261	Glen Iris Railway Station 	2676
120	19835	-37.85930842	145.0582249	Leawarra Railway Station 	241
121	19836	-38.152034	145.139534	Darling Railway Station 	333
122	19837	-37.86895684	145.0629508	East Malvern Railway Station 	240
123	19838	-37.87693002	145.069393	Holmesglen Railway Station 	240
124	19839	-37.87440222	145.090662	Jordanville Railway Station 	240
125	19840	-37.87360339	145.1120902	Flagstaff Railway Station 	245
126	19841	-37.81198131	144.9556538	Melbourne Central Railway Station 	3
127	19842	-37.80993877	144.9625935	Parliament Railway Station 	1
128	19843	-37.81105406	144.9729109	Belgrave Railway Station 	1
129	19844	-37.9091021	145.3552913	Tecoma Railway Station 	262
130	19845	-37.90811849	145.3429946	Upwey Railway Station 	265
131	19846	-37.90369097	145.3313334	Alamein Railway Station 	259
132	19847	-37.86832039	145.0796557	Ashburton Railway Station 	242
133	19848	-37.86196753	145.0813438	Burwood Railway Station 	242
134	19849	-37.85156328	145.0805111	Hartwell Railway Station 	241
135	19850	-37.84398457	145.0755596	Willison Railway Station 	193
136	19851	-37.83571565	145.0702976	Riversdale Railway Station 	193
137	19852	-37.83150543	145.069646	Camberwell Railway Station 	193
138	19853	-37.82656714	145.0586972	Frankston Railway Station 	193
139	19854	-37.81830513	144.9669643	Kananook Railway Station 	1
140	19855	-38.14299007	145.1261623	Seaford Railway Station 	333
141	19856	-38.12174203	145.1352953	Carrum Railway Station 	332
142	19857	-38.10402104	145.1282304	Bonbeach Railway Station 	332
143	19858	-38.07489292	145.1224183	Chelsea Railway Station 	330
144	19859	-38.06294478	145.1196804	Edithvale Railway Station 	326
145	19860	-38.05195538	145.1160413	Aspendale Railway Station 	327
146	19861	-38.03805602	145.1085355	Mordialloc Railway Station 	329
147	19862	-38.02722019	145.1021496	Parkdale Railway Station 	320
148	19863	-38.00658295	145.0876594	Mentone Railway Station 	323
149	19864	-37.99307882	145.0763268	Cheltenham Railway Station 	324
150	19865	-37.9818654	145.0651659	Upper Ferntree Gully Railway Station 	318
151	19866	-37.96664989	145.0545579	Ferntree Gully Railway Station 	315
152	19867	-37.8926717	145.3075302	Boronia Railway Station 	258
153	19868	-37.88169799	145.2952513	Bayswater Railway Station 	255
154	19869	-37.8604518	145.2843851	Heathmont Railway Station 	254
155	19870	-37.84173004	145.2681364	Highett Railway Station 	251
156	19871	-37.82832227	145.2445554	Glen Waverley Railway Station 	214
157	19872	-37.948425	145.0418718	Syndal Railway Station 	313
158	19873	-37.87950407	145.1620575	Mount Waverley Railway Station 	246
159	19874	-37.87622963	145.1497805	Lilydale Railway Station 	246
160	19875	-37.87525526	145.1280557	Mooroolbark Railway Station 	245
161	19876	-37.75551777	145.3477102	Croydon Railway Station 	233
162	19877	-37.78474883	145.3124024	Ringwood East Railway Station 	222
163	19878	-37.79543697	145.2805978	Officer Railway Station 	216
164	19879	-37.81196804	145.2501909	Beaconsfield Railway Station 	215
165	19880	-38.08061397	145.4863791	Narre Warren Railway Station 	2340
166	19881	-38.06614572	145.4109872	Hallam Railway Station 	2338
167	19882	-38.05083135	145.3660737	Cranbourne Railway Station 	2334
168	19883	-38.04040829	145.3457261	Merinda Park Railway Station 	2332
169	19884	-38.02780932	145.3039694	Yarraman Railway Station 	2330
170	19885	-38.01774038	145.2697768	Noble Park Railway Station 	2327
171	19886	-38.09953731	145.280599	Sandown Park Railway Station 	2829
172	19887	-38.07900048	145.2635114	East Camberwell Railway Station 	2831
173	19888	-37.98996792	145.2097254	Canterbury Railway Station 	290
174	19889	-37.97825454	145.1916003	Chatham Railway Station 	287
175	19890	-37.96723193	145.1769357	Surrey Hills Railway Station 	287
