66,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.82524551,144.9543524,6
67,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.82490405,144.9522883,5
68,Place Of Assembly,Art Gallery/Museum,Polly Woodside,-37.82425743,144.9534781,5
69,Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,-37.82928449,144.9134158,344
70,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.82660454,144.9672529,6
71,Place Of Assembly,Theatre Live,Malthouse Theatre,-37.8271768,144.9669368,6
72,Place of Worship,Church,St Patricks Cathedral,-37.8101141,144.9759015,2
73,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,-37.82199473,144.9688373,6
74,Community Use,Public Buildings,Melbourne Town Hall,-37.81507548,144.9665427,1
75,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Queen Victoria Gardens,-37.82163812,144.9710495,6
76,Community Use,Public Buildings,Sidney Myer Music Bowl,-37.82334716,144.9746862,4
77,Purpose Built,Casino,Crown Entertainment Complex,-37.82357611,144.9573129,6
78,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,1
79,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Federation Square,-37.81785166,144.9689636,1
80,Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,-37.81886627,144.9839701,2
81,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,New Quay,-37.81521788,144.9416179,7
82,Purpose Built,Film & RV Studio,Central City Studios,-37.81423185,144.9356553,7
83,Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,-37.81585723,144.9458233,7
84,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Docklands Park,-37.82099568,144.9467817,7
85,Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,-37.82472527,144.983803,4
86,Transport,Marina,New Quay Marina,-37.81529255,144.9422837,7
87,Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,-37.81651773,144.943475,7
88,Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,-37.81161637,144.9375889,7
89,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Point Park,-37.82335227,144.9421023,7
90,Education Centre,Primary Schools,Kensington Primary School,-37.7925235,144.9271087,59
91,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Newmarket Reserve,-37.78784733,144.9229721,59
92,Education Centre,Further Education,Kangan Batman Tafe,-37.82218182,144.9489085,7
93,Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,-37.82137443,144.9484967,7
94,Leisure/Recreation,"Outdoor Recreation Facility Zoo, Golf Course",Wonderland Park,-37.81169454,144.9368337,7
95,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.82204561,144.9784872,1
96,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.8209086,144.9787358,1
97,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.82132521,144.9775911,1
98,Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,-37.82311,144.9818348,1
99,Place Of Assembly,Art Gallery/Museum,Melbourne Museum,-37.80355181,144.9716907,103
100,Place Of Assembly,Cinema,IMAX Melbourne,-37.80343156,144.9706399,103
101,Community Use,Public Buildings,Melbourne Theatre Company,-37.82393038,144.9682974,6
